recipient_code,ldc_group,income_group,region
366,Other Developing Countries,High income,Caribbean & Central America
375,Other Developing Countries,High income,Caribbean & Central America
377,Other Developing Countries,High income,Caribbean & Central America
378,Other Developing Countries,Upper middle income,Caribbean & Central America
381,Other Developing Countries,Upper middle income,Caribbean & Central America
382,Other Developing Countries,High income,Caribbean & Central America
383,Other Developing Countries,Upper middle income,Caribbean & Central America
384,Other Developing Countries,Upper middle income,Caribbean & Central America
385,Other Developing Countries,Unclassified,Caribbean & Central America
389,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,Caribbean & Central America
425,Other Developing Countries,Upper middle income,South America
428,Other Developing Countries,Lower middle income,South America
431,Other Developing Countries,Upper middle income,South America
434,Other Developing Countries,High income,South America
437,Other Developing Countries,Upper middle income,South America
440,Other Developing Countries,Upper middle income,South America
446,Other Developing Countries,High income,South America
451,Other Developing Countries,Upper middle income,South America
454,Other Developing Countries,Upper middle income,South America
457,Other Developing Countries,Upper middle income,South America
460,Other Developing Countries,High income,South America
463,Other Developing Countries,Lower middle income,South America
489,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,South America
498,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,America
540,Other Developing Countries,Upper middle income,Middle East
543,Other Developing Countries,Upper middle income,Middle East
549,Other Developing Countries,Upper middle income,Middle East
550,Other Developing Countries,Lower middle income,Middle East
555,Other Developing Countries,Lower middle income,Middle East
573,Other Developing Countries,Low income,Middle East
580,Least Developed Countries,Low income,Middle East
589,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,Middle East
610,Other Developing Countries,Upper middle income,South & Central Asia
611,Other Developing Countries,Upper middle income,South & Central Asia
612,Other Developing Countries,Upper middle income,South & Central Asia
613,Other Developing Countries,Upper middle income,South & Central Asia
614,Other Developing Countries,Lower middle income,South & Central Asia
615,Other Developing Countries,Lower middle income,South & Central Asia
616,Other Developing Countries,Upper middle income,South & Central Asia
617,Other Developing Countries,Lower middle income,South & Central Asia
619,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,South & Central Asia
625,Least Developed Countries,Low income,South & Central Asia
